Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability,Race_ID,Predicted_Rank,Top_3_Flag,Odds_To_Use,Expected_Value,Field_Size,Kelly_Fraction,Reject_Reason,Winrate_Threshold,Bet_Placed,Stake,Actual_Result,Bet_Return,Bankroll_After_Race
2023-07-21,18:30:00,HAMILTON,Up The Jazz,6f,4.0,4.0,4.5,0.22581486731816516,2023-07-21_18:30:00,2.0,True,4.0,-0.09674053072733935,4,-0.03224684357577978,kelly_low|ev_low|,0,False,0.0,0,0.0,10028.264224965662
2023-07-21,19:40:00,HAMILTON,Circle Of Fire,1m3f,3.0,3.75,4.2,0.16339360001881723,2023-07-21_19:40:00,2.0,True,3.75,-0.38727399992943545,5,-0.14082690906524925,kelly_low|ev_low|,0,False,0.0,0,0.0,10128.546867215318
2023-07-21,20:15:00,HAMILTON,Huddle Up,5f,3.0,3.5,3.79,0.29272119856877876,2023-07-21_20:15:00,1.0,True,3.5,0.024524194990725667,6,0.009809677996290267,kelly_low|ev_low|,0,False,0.0,0,0.0,10128.546867215318
2023-07-21,20:15:00,HAMILTON,Honour Your Dreams,5f,1.0,3.75,4.1,0.25951475180425204,2023-07-21_20:15:00,2.0,True,3.75,-0.02681968073405494,6,-0.009752611176019978,kelly_low|ev_low|,0,False,0.0,1,0.0,10128.546867215318
2023-08-05,18:30:00,HAMILTON,Look Back Smiling,1m½f,4.0,1.57,1.68,0.6809598458862962,2023-08-05_18:30:00,1.0,True,1.57,0.06910695804148509,6,0.12124027726576331,ev_low|,0,False,0.0,0,0.0,10128.546867215318
2023-08-05,18:30:00,HAMILTON,Phoenix Fire,1m½f,5.0,6.0,8.0,0.11271372849432307,2023-08-05_18:30:00,2.0,True,6.0,-0.32371762903406165,6,-0.06474352580681234,kelly_low|ev_low|,0,False,0.0,0,0.0,10128.546867215318
2023-08-05,19:00:00,HAMILTON,Impressor,6f,1.0,2.75,3.12,0.2699524617831231,2023-08-05_19:00:00,2.0,True,2.75,-0.2576307300964115,6,-0.1472175600550923,kelly_low|ev_low|,0,False,0.0,1,0.0,10128.546867215318
2023-08-05,19:00:00,HAMILTON,Slainte Mhath,6f,2.0,3.0,3.03,0.29970180659195783,2023-08-05_19:00:00,1.0,True,3.0,-0.10089458022412645,6,-0.050447290112063226,kelly_low|ev_low|,0,False,0.0,0,0.0,10128.546867215318
2023-08-05,20:30:00,HAMILTON,Spanish Hustle,1m3f,1.0,2.63,2.84,0.2923530246819255,2023-08-05_20:30:00,2.0,True,2.63,-0.23111154508653603,6,-0.14178622397946997,kelly_low|ev_low|,0,False,0.0,1,0.0,10027.261398543165
2023-08-14,18:10:00,HAMILTON,Impressor,5f,2.0,2.2,2.3,0.3897558749452866,2023-08-14_18:10:00,1.0,True,2.2,-0.1425370751203695,4,-0.11878089593364123,kelly_low|ev_low|,0,False,0.0,0,0.0,9926.988784557734
